44,화자,intent,subintent,question,answer,q_entity,a_entity,용어사전,지식베이스,교통
44,민원인,길찾기,,대구역 앞에서 서문시장가는 버스있나요,대구역 앞에서요 육백이십삼번 그리고 삼백 육백이십삼번 탑승하시면은 환승 안 하시고 바로 그 큰장네거리까지 가실 수 있습니다.,"대구역 앞, 서문시장, 버스, ","대구역 앞, 육백이십삼번, 삼백, 육백이십삼번, 탑승, 큰장네거리","서문시장/서문시장, 탑승/승차","대구역 앞/출발지/위치,서문시장/도착지/위치,",교통
44,민원인,분실물,,분실물 때문에 전화드렸는데요,택시회사로 한번 확인을 해 보셔야 될 것 같구요 제가 택시회사번호를 좀 알려드릴까요,분실물,"택시회사, 택시, 회사번호","분실물/분실물, 회사번호/회사번호",,교통
44,상담사,분실물,분실물,어떤 물품이요 선생님,가방에 안에다가 지갑을 넣었는데 가방을 놓고 내렸는 것 같아가지고,물품,"가방, 지갑",,"가방/분실물/분실물,",교통
44,상담사,분실물,대중교통수단,버스에서 말씀이십니까?,택시요,버스,택시,,"버스/대중교통수단/교통수단,택시/대중교통수단/교통수단,",교통
44,상담사,분실물,시간,언제 그러신 거세요 선생님,일월 일일요 새벽 여섯시 쯤요,,"일월, 일일, 새벽, 여섯시",,"일월 일일 새벽 여섯시/시간/시간,",교통
44,상담사,분실물,차량번호,택시 번호 알고 계신가요 선생님,아니 번호가 이제 몰라가지고 근데 결제를 카드로 했었거든요,택시 번호,"번호, 결제, 카드 ","택시 번호/택시번호, 번호/차량번호","카드/결제수단/결제수단,",교통
44,상담사,분실물,개인법인,법인택신지 개인택신진 알고 계세요,그것도 잘 모르겠는데,"법인택시, 개인택시",,개인택시/개인택시,,교통
44,민원인,배차간격,,버스 언제 도착하는지 알수 있어요,십일분 후에 도착 예정이라고 나옵니다,"버스, 도착 ","십일분, 후, 도착 예정","후/뒤, 도착 예정/도착시간",,교통
44,상담사,배차간격,위치,지금 계신곳이 어디시죠,청구타운이요 그 대봉동,곳,"청구타운, 대봉동",곳/군데,"청구타운/위치/위치,대봉동/위치/위치,",교통
44,상담사,배차간격,위치,청구맨션에 혹시 버스정류장 이름이 뭘로 나오나요,청구타운이라고 적혀 있는데요,"청구맨션, 버스정류장, 이름",청구타운,"버스정류장/버스정류장, 이름/이름","청구타운/위치/위치,",교통
44,상담사,배차간격,버스번호,삼이삼 다시 일번 지금 타실려고 기다리고 계시죠,네,삼이삼 다시 일번,,삼이삼 다시 일번/삼이삼 다시 일,,교통
44,민원인,분실물,,버스에 휴대폰을 두고 내렸는데 어떻게 하면 찾을 수 있나 싶어 전화드렸어요,버스회사에서 기사분한테 전달해서 이틀 안에 바로 습득할 수 있도록 확인해 드릴 껍니다.,"버스, 휴대폰 ","버스회사, 기사, 이틀, 안, 습득","휴대폰/휴대전화, 버스회사/버스회사, 안/안, 습득/습득","버스/대중교통수단/교통수단,휴대전화/분실물/분실물,",교통
44,상담사,분실물,대중교통수단,차량 어떤 거 타고 가셨어요 노선,이백사십번 버스거든요,"차량, 노선 ","이백사십번, 버스","차량/차량, 노선/버스노선","이백사십번/버스번호/버스번호,버스/대중교통수단/교통수단,",교통
44,상담사,분실물,위치,이백사십번은 버스가 두 대가 운행이 돼서요 혹시 그 정류장 어디에서 타셨는지 알려주시면 제가 확인 한번 해 봐 드릴께요,큰장네거리 있잖아요 서문시장요,"이백사십번, 버스, 두대, 운행, 정류장","큰장네거리, 서문시장","정류장/정류장, 서문시장/서문시장","큰장네거리/위치/위치,서문시장/위치/위치,",교통
44,민원인,요금,,혹시 시내버스 타면요 저 애기들은 몇 살 때부터 요금을 내나요,만 육세 미만부터 그 지금 하신다고 하네요 지금 만 육세,"시내버스, 애기, 살, 요금","만 육세, 미만","시내버스/시내버스, 애기/애, 요금/요금","애/연령/연령,시내버스/대중교통수단/교통수단,만 육세/연령/연령,",교통
44,민원인,배차간격,,버스 노선시간 배차시간 좀 알고 싶어서 전화했는데요,성서 일 다시 일번은 배차 간격이 이십팔분 정도로 확인이 되거든요 그래서 한,"버스, 노선시간, 배차시간","성서 일 다시 일번, 배차 간격, 이십팔분","배차시간/배차간격, 성서 일 다시 일번/성서 일 다시 일, 배차 간격/배차간격","성서 일 다시 일/버스번호/버스번호,",교통
44,상담사,배차간격,버스번호,실례지만 그 버스가 몇 번입니까?,성서 일 다시 일번이요,"버스, 번",성서 일 다시 일번,"번/회, 성서 일 다시 일번/성서 일 다시 일","성서 일 일번/버스번호/버스번호,",교통
